"QUARTER","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","AIRPORT_GROUP","OP_CARRIER_GROUP","PASSENGERS","MARKET_FARE","MARKET_DISTANCE","ITIN_GEO_TYPE","numLayovers"
4,"JFK","NY","SLC","UT","JFK:SLC","DL",1,711.5,1990,2,0
4,"JFK","NY","AUS","TX","JFK:AUS","B6",3,281,1521,2,0
4,"GSP","SC","BUF","NY","GSP:ORD:BUF","AX:UA",1,446.14,578,2,1
4,"MIA","FL","LGA","NY","MIA:LGA","AA",1,421.62,1096,2,0
4,"SYR","NY","FLL","FL","SYR:ATL:FLL","DL:DL",1,292.75,794,2,1
4,"PBG","NY","MCO","FL","PBG:FLL:MCO","NK:NK",1,91.5,1334,2,1
4,"HOU","TX","SYR","NY","HOU:ATL:SYR","DL:DL",1,269.61,696,2,1
4,"JFK","NY","BOI","ID","JFK:LGA:MSP:BOI","--:DL:DL",1,193.23,11,2,2
4,"TUL","OK","LGA","NY","TUL:DFW:LGA","AA:AA",1,319.24,237,2,1
4,"RDU","NC","JFK","NY","RDU:JFK","MQ",1,116.5,427,2,0
4,"IAD","VA","SYR","NY","IAD:SYR","C5",1,238.66,296,2,0
4,"SFO","CA","JFK","NY","SFO:JFK","UA",1,241.98,2586,2,0
4,"JFK","NY","LAX","CA","JFK:LAX","B6",1,224,2475,2,0
4,"JFK","NY","SFO","CA","JFK:LAS:SFO","VX:VX",1,254.64,2248,2,1
4,"ROC","NY","BWI","MD","ROC:BWI","WN",3,134.5,277,2,0
4,"LGA","NY","DAL","TX","LGA:DAL","WN",19,149,1381,2,0
4,"JFK","NY","LAS","NV","JFK:LAS","AA",1,384,2248,2,0
4,"LGA","NY","BRO","TX","LGA:IAH:BRO","UA:EV",1,470.77,1416,2,1
4,"BIS","ND","JFK","NY","BIS:MSP:JFK","DL:DL",1,242.5,386,2,1
4,"LGA","NY","IAH","TX","LGA:IAH","UA",2,493,1416,2,0
4,"SJU","PR","JFK","NY","SJU:JFK","DL",1,511,1598,1,0
4,"SFO","CA","JFK","NY","SFO:JFK","B6",1,266,2586,2,0
4,"RIC","VA","ALB","NY","RIC:EWR:ALB","C5:C5",1,222.67,277,2,1
4,"PBI","FL","HPN","NY","PBI:HPN","B6",8,297,1056,2,0
4,"JFK","NY","PSP","CA","JFK:SLC:PSP","DL:OO",1,498,1990,2,1
4,"JFK","NY","SFO","CA","JFK:SFO","UA",1,2092,2586,2,0
4,"JFK","NY","SJC","CA","JFK:SJC","B6",1,384,2569,2,0
4,"CVG","KY","LGA","NY","CVG:LGA","G7",1,238,585,2,0
4,"JFK","NY","PDX","OR","JFK:PDX","DL",3,333,2454,2,0
4,"DFW","TX","LGA","NY","DFW:LGA","AA",20,139.5,1389,2,0
4,"JFK","NY","ATL","GA","JFK:ATL","DL",1,163,760,2,0
4,"LGA","NY","DEN","CO","LGA:DEN","NK",1,197,1620,2,0
4,"DCA","VA","SYR","NY","DCA:SYR","YX",1,182,298,2,0
4,"AUS","TX","ROC","NY","AUS:DAL:ROC","WN:WN",1,148,189,2,1
4,"LGA","NY","JAN","MS","LGA:ATL:JAN","DL:DL",1,785,762,2,1
4,"DAL","TX","LGA","NY","DAL:LGA","VX",20,142,1381,2,0
4,"JFK","NY","CLT","NC","JFK:CLT","US",2,164,541,2,0
4,"JFK","NY","KOA","HI","JFK:LAX:KOA","DL:DL",1,496,2475,1,1
4,"LGA","NY","TUS","AZ","LGA:DFW:TUS","AA:AA",2,243,1389,2,1
4,"TPA","FL","BUF","NY","TPA:IAD:BUF","UA:EV",1,137,811,2,1
4,"RDU","NC","LGA","NY","RDU:LGA","MQ",2,259,431,2,0
4,"LGA","NY","SRQ","FL","LGA:SRQ","B6",1,121.5,1047,2,0
4,"IAH","TX","JHW","NY","IAH:PIT:JHW","EV:LW",1,204.5,1117,2,1
4,"MSY","LA","JFK","NY","MSY:JFK","DL",1,198.76,1182,2,0
4,"LGA","NY","FLL","FL","LGA:FLL","B6",1,469.5,1076,2,0
4,"CLT","NC","LGA","NY","CLT:LGA","G7",1,103,544,2,0
4,"DSM","IA","SYR","NY","DSM:ORD:SYR","UA:UA",1,253.5,299,2,1
4,"TPA","FL","HPN","NY","TPA:CLT:HPN","US:16",1,110,507,2,1
4,"RDU","NC","BUF","NY","RDU:PHL:BUF","US:17",1,254,337,2,1
4,"CLT","NC","LGA","NY","CLT:LGA","US",1,167.31,544,2,0
4,"JFK","NY","SMF","CA","JFK:PHX:SMF","US:US",1,292.5,2153,2,1
4,"LGA","NY","MSY","LA","LGA:HOU:MSY","WN:WN",1,165.5,1428,2,1
4,"IAH","TX","ROC","NY","IAH:DTW:ROC","EV:9E",1,289.5,1075,2,1
4,"JFK","NY","MSP","MN","JFK:MSP","SY",11,188,1029,2,0
4,"LGA","NY","SJU","PR","LGA:MIA:SJU","AA:AA",1,269.44,1096,1,1
4,"HPN","NY","PIH","ID","HPN:DTW:SLC:PIH","DL:DL:OO",1,376,505,2,2
4,"SYR","NY","FLL","FL","SYR:EWR:FLL","C5:UA",1,186.5,195,2,1
4,"HNL","HI","ROC","NY","HNL:JFK:ROC","DL:RP",1,420.5,4983,1,1
4,"LGA","NY","BNA","TN","LGA:BNA","9E",2,101,764,2,0
4,"FLL","FL","LGA","NY","FLL:CLT:LGA","US:US",1,266,631,2,1
4,"LGA","NY","MIA","FL","LGA:MIA","DL",22,115,1096,2,0
4,"JFK","NY","SFO","CA","JFK:SFO","UA",1,183.75,2586,2,0
4,"TPA","FL","LGA","NY","TPA:LGA","B6",2,133.5,1010,2,0
4,"PIT","PA","LGA","NY","PIT:PHL:LGA","US:ZW",1,330.67,268,2,1
4,"ALB","NY","LAS","NV","ALB:ORD:LAS","UA:UA",1,190,723,2,1
4,"LGA","NY","PBI","FL","LGA:PBI","DL",1,105.57,1035,2,0
4,"JFK","NY","JAX","FL","JFK:JAX","B6",13,97,828,2,0
4,"MSY","LA","ALB","NY","MSY:BWI:ALB","WN:WN",1,349.5,998,2,1
4,"CLT","NC","JFK","NY","CLT:JFK","RP",1,106.5,541,2,0
4,"JFK","NY","LAX","CA","JFK:PHX:PSP:LAX","US:YV:UA",1,391.3,2153,2,2
4,"LGA","NY","OGG","HI","LGA:ORD:OGG","UA:UA",1,1132.35,733,1,1
4,"JFK","NY","LAS","NV","JFK:LAS","DL",1,400,2248,2,0
4,"DCA","VA","HPN","NY","DCA:HPN","16",1,125.5,234,2,0
4,"RDU","NC","ISP","NY","RDU:BWI:ISP","WN:WN",1,209,255,2,1
4,"RDU","NC","BUF","NY","RDU:EWR:BUF","YX:YX",1,234.93,416,2,1
4,"IDA","ID","JFK","NY","IDA:SLC:JFK","OO:DL",1,240,188,2,1
4,"JFK","NY","MSY","LA","JFK:MSY","B6",2,191,1182,2,0
4,"LAX","CA","JFK","NY","LAX:JFK","B6",1,240.99,2475,2,0
4,"AUS","TX","JFK","NY","AUS:JFK","B6",1,228,1521,2,0
4,"LGA","NY","TPA","FL","LGA:TPA","DL",1,186.96,1010,2,0
4,"HPN","NY","SFO","CA","HPN:ORD:SFO","MQ:AA",1,389.5,738,2,1
