"QUARTER","ORIGIN","ORIGIN_STATE_ABR","DEST","DEST_STATE_ABR","AIRPORT_GROUP","OP_CARRIER_GROUP","PASSENGERS","MARKET_FARE","MARKET_DISTANCE","ITIN_GEO_TYPE","numLayovers"
1,"SYR","NY","MCO","FL","SYR:LGA:MCO","EV:DL",1,113.5,198,2,1
1,"BUF","NY","AUS","TX","BUF:ORD:IAH:AUS","UA:UA:UA",1,142.97,473,2,2
1,"LGA","NY","MCI","MO","LGA:MCI","CP",1,532,1107,2,0
1,"PHX","AZ","JFK","NY","PHX:CLT:JFK","US:US",1,332,1773,2,1
1,"LGA","NY","HOU","TX","LGA:HOU","WN",1,128,1428,2,0
1,"ALB","NY","DCA","VA","ALB:DCA","YX",2,111,318,2,0
1,"RDU","NC","BUF","NY","RDU:BWI:BUF","WN:WN",1,127,255,2,1
1,"ATL","GA","ISP","NY","ATL:ISP","WN",2,145,795,2,0
1,"MEM","TN","LGA","NY","MEM:CLT:LGA","US:US",1,139.21,511,2,1
1,"PBI","FL","JFK","NY","PBI:JFK","B6",1,168.41,1028,2,0
1,"BUF","NY","MSY","LA","BUF:FLL:MSY","WN:WN",1,331.46,1165,2,1
1,"BUR","CA","SYR","NY","BUR:JFK:SYR","B6:B6",1,542,2465,2,1
1,"LGA","NY","RSW","FL","LGA:RSW","DL",3,130.5,1080,2,0
1,"SYR","NY","SAV","GA","SYR:CLT:SAV","US:YV",1,213.63,603,2,1
1,"CHS","SC","ISP","NY","CHS:BWI:ISP","WN:WN",2,89.68,472,2,1
1,"LAS","NV","LGA","NY","LAS:IAH:LGA","UA:UA",1,221.5,1222,2,1
1,"LGA","NY","DEN","CO","LGA:DEN","DL",1,429.5,1620,2,0
1,"SAT","TX","LGA","NY","SAT:IAH:LGA","OO:UA",1,619,191,2,1
1,"ALB","NY","DEN","CO","ALB:LAS:DEN","WN:WN",1,484.01,2237,2,1
1,"ROC","NY","SEA","WA","ROC:DTW:SEA","RP:DL",1,243.24,296,2,1
1,"EGE","CO","LGA","NY","EGE:DEN:LGA","YX:UA",1,491,120,2,1
1,"LGA","NY","DFW","TX","LGA:DFW","NK",38,80,1389,2,0
1,"ALB","NY","DFW","TX","ALB:ATL:DFW","EV:DL",1,282,853,2,1
1,"ORD","IL","LGA","NY","ORD:LGA","UA",1,516.5,733,2,0
1,"BOS","MA","BUF","NY","BOS:BUF","B6",1,117.5,395,2,0
1,"MCO","FL","ROC","NY","MCO:DTW:ROC","DL:RP",1,141.5,957,2,1
1,"LGA","NY","CVG","KY","LGA:DCA:CVG","US:16",1,226,214,2,1
2,"JFK","NY","LAX","CA","JFK:DFW:LAX","AA:AA",1,316,1391,2,1
2,"LGA","NY","SDF","KY","LGA:SDF","RP",1,305,659,2,0
2,"FLL","FL","JFK","NY","FLL:JFK","DL",2,271,1069,2,0
2,"SJC","CA","LGA","NY","SJC:PHX:CLT:LGA","US:US:US",1,216.57,621,2,2
2,"FLL","FL","SYR","NY","FLL:LGA:SYR","DL:9E",1,161.59,1076,2,1
2,"LGA","NY","PBI","FL","LGA:PBI","DL",3,163,1035,2,0
2,"ROC","NY","PHX","AZ","ROC:CLT:PHX","US:US",1,186.56,573,2,1
2,"SDF","KY","ROC","NY","SDF:ATL:ROC","DL:DL",1,223,321,2,1
2,"JFK","NY","AUS","TX","JFK:AUS","B6",1,150,1521,2,0
2,"ROC","NY","MYR","SC","ROC:PHL:MYR","ZW:16",1,422,257,2,1
2,"MIA","FL","BUF","NY","MIA:LGA:BUF","DL:G7",1,203,1096,2,1
2,"LGA","NY","ORD","IL","LGA:EWR:ORD","--:UA",1,324.34,17,2,1
2,"ALB","NY","ONT","CA","ALB:MDW:ONT","WN:WN",1,563,717,2,1
2,"LGA","NY","DTW","MI","LGA:DTW","DL",1,291.5,502,2,0
2,"LGA","NY","GJT","CO","LGA:DEN:GJT","UA:EV",1,251.38,1620,2,1
2,"BUF","NY","EWR","NJ","BUF:EWR","S5",2,219,282,2,0
2,"BUF","NY","RSW","FL","BUF:ATL:RSW","DL:DL",2,150.6,712,2,1
2,"LGA","NY","ORF","VA","LGA:ORF","MQ",1,138.49,296,2,0
2,"AUS","TX","JFK","NY","AUS:JFK","B6",1,195.15,1521,2,0
2,"LAS","NV","JFK","NY","LAS:JFK","DL",64,162,2248,2,0
2,"SAT","TX","HPN","NY","SAT:ATL:HPN","DL:EV",1,282.23,874,2,1
2,"ATL","GA","BUF","NY","ATL:PHL:BUF","US:ZW",1,257,666,2,1
2,"CHS","SC","ISP","NY","CHS:BWI:ISP","WN:WN",1,124.5,472,2,1
2,"JFK","NY","HNL","HI","JFK:MSP:HNL","9E:DL",1,576.94,1029,1,1
2,"LGB","CA","JFK","NY","LGB:JFK","B6",5,586.5,2465,2,0
2,"DCA","VA","BUF","NY","DCA:PHL:BUF","YX:ZW",1,215.63,119,2,1
2,"JFK","NY","MCO","FL","JFK:MCO","DL",1,133,944,2,0
2,"CVG","KY","JFK","NY","CVG:JFK","9E",1,210,589,2,0
2,"RDU","NC","JFK","NY","RDU:JFK","MQ",2,210.5,427,2,0
2,"LGA","NY","CLT","NC","LGA:CLT","YV",1,95.5,544,2,0
2,"BUF","NY","MSP","MN","BUF:MSP","9E",1,303.5,735,2,0
2,"RDU","NC","LGA","NY","RDU:LGA","MQ",1,261.5,431,2,0
2,"SYR","NY","ATL","GA","SYR:EWR:LGA:ATL","EV:--:DL",1,459.1,195,2,2
2,"MCO","FL","SYR","NY","MCO:CLT:SYR","US:US",1,113.5,468,2,1
2,"DTW","MI","HPN","NY","DTW:HPN","9E",1,602,505,2,0
2,"LGA","NY","YUM","AZ","LGA:CLT:PHX:YUM","US:US:OO",1,172,544,2,2
2,"ISP","NY","MCO","FL","ISP:MCO","WN",2,361,971,2,0
2,"SFO","CA","BUF","NY","SFO:IAD:BUF","UA:S5",1,493.47,2419,2,1
2,"JFK","NY","BUR","CA","JFK:BUR","B6",2,239.5,2465,2,0
2,"DEN","CO","LGA","NY","DEN:LGA","UA",1,373.5,1620,2,0
2,"LGA","NY","SLC","UT","LGA:ORD:SLC","AA:YX",1,207.9,733,2,1
2,"ROC","NY","BWI","MD","ROC:BWI","WN",5,244,277,2,0
2,"ALB","NY","PHX","AZ","ALB:PHL:PHX","17:US",1,309,212,2,1
2,"ATL","GA","JFK","NY","ATL:JFK","DL",3,226,760,2,0
2,"LGA","NY","IAH","TX","LGA:IAH","UA",1,190,1416,2,0
2,"JFK","NY","LNY","HI","JFK:HNL:LNY","HA:WP",1,469,4983,1,1
2,"MCO","FL","JFK","NY","MCO:JFK","AA",1,221,944,2,0
2,"ROC","NY","MKE","WI","ROC:ORD:MKE","S5:OO",1,267,528,2,1
2,"MCO","FL","LGA","NY","MCO:LGA","B6",1,324,950,2,0
2,"BOS","MA","ROC","NY","BOS:ROC","ZW",1,274,343,2,0
2,"BUF","NY","DCA","VA","BUF:DCA","ZW",5,89,296,2,0
2,"JFK","NY","LAX","CA","JFK:LAX","VX",1,135.5,2475,2,0
2,"LGA","NY","DTW","MI","LGA:DTW","DL",1,545.5,502,2,0
2,"LAX","CA","JFK","NY","LAX:JFK","AA",1,3451,2475,2,0
2,"LGA","NY","DEN","CO","LGA:DEN","DL",1,482.61,1620,2,0
2,"DEN","CO","JFK","NY","DEN:JFK","DL",1,121.5,1626,2,0
2,"LGA","NY","STL","MO","LGA:STL","G7",1,262.1,888,2,0
2,"STL","MO","HPN","NY","STL:ATL:HPN","DL:EV",1,392.5,484,2,1
2,"ORD","IL","LGA","NY","ORD:LGA","UA",1,428.5,733,2,0
2,"SEA","WA","JFK","NY","SEA:JFK","DL",1,392,2422,2,0
2,"ABI","TX","LGA","NY","ABI:DFW:LGA","MQ:AA",1,240.26,158,2,1
2,"MCI","MO","LGA","NY","MCI:MDW:EWR:LGA","WN:WN:--",1,185.86,405,2,2
2,"ABQ","NM","LGA","NY","ABQ:PHX:CLT:PWM:LGA","OO:US:US:DL",1,533,328,2,3
2,"MSY","LA","LGA","NY","MSY:IAH:LGA","UA:UA",1,131.5,305,2,1
2,"SAN","CA","ALB","NY","SAN:MSP:ALB","DL:9E",1,395,1532,2,1
2,"LGA","NY","PIA","IL","LGA:ORD:PIA","UA:AX",1,152.17,733,2,1
2,"BUF","NY","MDW","IL","BUF:MDW","WN",1,176.5,468,2,0
2,"BUF","NY","MCO","FL","BUF:MCO","WN",1,168.5,1011,2,0
2,"FSD","SD","BUF","NY","FSD:MSP:DTW:BUF","EV:DL:DL",1,514.67,196,2,2
2,"ORD","IL","LGA","NY","ORD:LGA","S5",2,359,733,2,0
2,"LGA","NY","ATL","GA","LGA:ATL","DL",1,266.57,762,2,0
2,"ELM","NY","FLL","FL","ELM:DTW:FLL","EV:DL",1,138.5,332,2,1
2,"BUF","NY","JFK","NY","BUF:JFK","9E",1,128.5,301,2,0
2,"ELM","NY","MKE","WI","ELM:DTW:MKE","EV:OO",1,193.5,332,2,1
2,"ATL","GA","LGA","NY","ATL:LGA","FL",22,218,762,2,0
2,"ORD","IL","LGA","NY","ORD:IND:IAD:LGA","EV:S5:EV",1,238.66,177,2,2
2,"DFW","TX","LGA","NY","DFW:LGA","CP",1,512,1389,2,0
2,"LGA","NY","ATL","GA","LGA:ATL","FL",1,317,762,2,0
2,"IND","IN","LGA","NY","IND:LGA","S5",2,303,660,2,0
2,"ROC","NY","RDU","NC","ROC:LGA:RDU","G7:G7",1,96,254,2,1
2,"BUF","NY","ATL","GA","BUF:CLT:ATL","US:YV",1,170.17,546,2,1
2,"SAT","TX","JFK","NY","SAT:MSP:JFK","EV:DL",1,635.54,1097,2,1
2,"GSP","SC","ALB","NY","GSP:ATL:ALB","DL:DL",1,767,153,2,1
2,"PHX","AZ","LGA","NY","PHX:ORD:LGA","AA:AA",1,1413,1440,2,1
2,"SYR","NY","PSP","CA","SYR:DCA:DFW:PSP","YX:AA:AA",1,240,298,2,2
2,"ELM","NY","JAX","FL","ELM:DTW:ATL:JAX","EV:DL:DL",1,371.92,332,2,2
2,"SAN","CA","JFK","NY","SAN:JFK","DL",1,1803,2446,2,0
2,"JFK","NY","SCE","PA","JFK:IAD:SCE","EV:C5",1,224.5,228,2,1
2,"ATL","GA","LGA","NY","ATL:LGA","DL",1,486.5,762,2,0
2,"BUF","NY","FLL","FL","BUF:FLL","WN",2,129.5,1165,2,0
2,"PBI","FL","LGA","NY","PBI:LGA","DL",5,345,1035,2,0
2,"MHT","NH","LGA","NY","MHT:LGA","CP",1,146,195,2,0
2,"MCO","FL","HPN","NY","MCO:HPN","B6",2,175.02,972,2,0
2,"JFK","NY","MIA","FL","JFK:MIA","AA",1,199.36,1089,2,0
2,"LGA","NY","TPA","FL","LGA:JFK:TPA","--:DL",1,161.1,11,2,1
2,"EYW","FL","LGA","NY","EYW:MIA:LGA","AA:AA",1,212.63,125,2,1
2,"IAH","TX","LGA","NY","IAH:LGA","UA",2,237,1416,2,0
2,"JFK","NY","PIT","PA","JFK:PIT","9E",1,151.5,340,2,0
2,"CLT","NC","BUF","NY","CLT:IAD:BUF","YV:YX",1,239,322,2,1
2,"TYS","TN","LGA","NY","TYS:CLT:LGA","16:US",1,190.23,177,2,1
3,"LGA","NY","ORF","VA","LGA:ORF","ZW",1,93.5,296,2,0
3,"FLL","FL","LGA","NY","FLL:CLT:LGA","US:US",1,221.71,631,2,1
3,"JFK","NY","DTW","MI","JFK:DTW","G7",1,323,509,2,0
3,"DAL","TX","ALB","NY","DAL:BWI:ALB","WN:WN",1,310,1209,2,1
3,"ALB","NY","HSV","AL","ALB:ATL:HSV","DL:DL",1,231.5,853,2,1
3,"SYR","NY","DHN","AL","SYR:ATL:DHN","DL:EV",1,482,794,2,1
3,"JFK","NY","CHS","SC","JFK:CHS","B6",1,119.5,636,2,0
3,"JFK","NY","SJC","CA","JFK:SJC","B6",3,208,2569,2,0
3,"BUF","NY","CVG","KY","BUF:PHL:CVG","YX:YX",1,276,279,2,1
3,"LGA","NY","DTW","MI","LGA:DTW","DL",1,214.26,502,2,0
3,"SBN","IN","BGM","NY","SBN:DTW:BGM","OO:9E",1,172,157,2,1
3,"HPN","NY","TPA","FL","HPN:TPA","B6",2,161,1032,2,0
3,"HPN","NY","ATL","GA","HPN:ATL","EV",1,534.65,780,2,0
3,"MLB","FL","HPN","NY","MLB:ATL:HPN","DL:EV",1,123,442,2,1
3,"JFK","NY","DCA","VA","JFK:DCA","9E",1,217,213,2,0
3,"RSW","FL","LGA","NY","RSW:LGA","9E",9,98,1080,2,0
3,"ORD","IL","BUF","NY","ORD:BUF","UA",1,226,473,2,0
3,"RDU","NC","ALB","NY","RDU:ALB","WN",2,296,544,2,0
3,"LGA","NY","SAN","CA","LGA:DEN:SAN","F9:F9",1,227.5,1620,2,1
3,"MIA","FL","JFK","NY","MIA:JFK","DL",5,197,1089,2,0
3,"LGA","NY","STL","MO","LGA:STL","MQ",3,283,888,2,0
3,"RNO","NV","LGA","NY","RNO:DEN:LGA","UA:UA",1,321,804,2,1
3,"SJU","PR","ALB","NY","SJU:CLT:ALB","US:US",1,226,1475,1,1
3,"IAG","NY","MYR","SC","IAG:MYR","NK",2,92.5,650,2,0
3,"ROC","NY","HOU","TX","ROC:MDW:HOU","WN:WN",1,515,523,2,1
3,"EWR","NJ","BUF","NY","EWR:BUF","YX",1,105,282,2,0
3,"JFK","NY","JAX","FL","JFK:JAX","B6",1,239.5,828,2,0
3,"LGA","NY","CLT","NC","LGA:CLT","S5",1,72,544,2,0
3,"SAT","TX","LGA","NY","SAT:DFW:LGA","AA:AA",1,178.47,247,2,1
3,"LGA","NY","BHM","AL","LGA:DCA:BHM","US:ZW",1,174,214,2,1
3,"JFK","NY","ATL","GA","JFK:CLT:ATL","US:US",1,157.51,541,2,1
3,"JFK","NY","MSP","MN","JFK:ORD:MSP","AA:YX",1,177.08,740,2,1
3,"LGA","NY","MYR","SC","LGA:MYR","NK",1,143.5,563,2,0
3,"TPA","FL","LGA","NY","TPA:LGA","B6",2,203.5,1010,2,0
3,"CLT","NC","LGA","NY","CLT:LGA","US",2,140.39,544,2,0
3,"LGA","NY","MKE","WI","LGA:MSP:MKE","DL:DL",1,222.38,1020,2,1
3,"ORD","IL","LGA","NY","ORD:LGA","S5",1,354.5,733,2,0
3,"HLN","MT","JFK","NY","HLN:SLC:JFK","OO:DL",1,219.5,402,2,1
3,"LGA","NY","PIA","IL","LGA:ORD:PIA","UA:AX",1,330,733,2,1
3,"SAN","CA","BUF","NY","SAN:MDW:BUF","WN:WN",2,589,1728,2,1
3,"LGA","NY","CVG","KY","LGA:DCA:CVG","US:ZW",1,124.08,214,2,1
